indikator,satuan,jenis_tanaman,tahun,nilai,kategori_nilai
"Produksi - bersumber Kementerian Pertanian","Ton","Kacang Tanah",1982,436822,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Kedelai",1982,521394,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Ubi Jalar",1982,1675657,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Ubi Kayu",1982,12987891,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Padi",1983,35303106,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Padi Ladang",1983,2008843,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Padi Sawah",1983,33294263,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Jagung",1983,5086875,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Kacang Hijau",1983,175631,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Kacang Tanah",1983,460421,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Kedelai",1983,536103,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Ubi Jalar",1983,2213027,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Ubi Kayu",1983,12102734,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Padi",1984,38136446,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Padi Ladang",1984,2119137,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Padi Sawah",1984,36017309,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Jagung",1984,5287825,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Kacang Hijau",1984,186574,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Kacang Tanah",1984,534815,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Kedelai",1984,769384,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Ubi Jalar",1984,2156529,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Ubi Kayu",1984,14167090,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Padi",1985,39032945,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Padi Ladang",1985,2005502,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Padi Sawah",1985,37027443,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Jagung",1985,4329503,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Kacang Hijau",1985,199890,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Kacang Tanah",1985,527852,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Kedelai",1985,869718,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Ubi Jalar",1985,2161493,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Ubi Kayu",1985,14057027,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Padi",1986,39726761,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Padi Ladang",1986,1987141,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Padi Sawah",1986,37739620,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Jagung",1986,5920374,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Kacang Hijau",1986,213145,"Angka Tetap"
