nama_perusahaan,komoditas,satuan,tahun,nilai
"Freeport Indonesia, PT","Gold","kg",2005,
"Freeport Indonesia, PT","Silver","kg",2005,
"Koba Tin, PT","Tin metal","ton",2005,
"International Nickel Ind, PT","Nickel","ton",2005,
"Gunung Kikara Mining, PT","Tin metal","ton",2005,
"Karimun Granite, PT","Granite","ton",2005,155507
"Lusang Mining, PT","Gold","kg",2005,
"Lusang Mining, PT","Silver","kg",2005,
"Ampalit Mas Perdana, PT","Gold","kg",2005,
"Ampalit Mas Perdana, PT","Silver","kg",2005,
"Monterado Mas Mining, PT","Gold","kg",2005,
"Monterado Mas Mining, PT","Silver","kg",2005,
"Prima Lirang Mining, PT","Gold","kg",2005,
"Prima Lirang Mining, PT","Silver","kg",2005,
"Kelian Equatorial Mining, PT","Gold","kg",2005,
"Kelian Equatorial Mining, PT","Silver","kg",2005,
"Indo Muro Kencana, PT","Gold","kg",2005,
"Indo Muro Kencana, PT","Silver","kg",2005,
"Newmont Minahasa Raya, PT","Gold","kg",2005,
"Newmont Minahasa Raya, PT","Silver","kg",2005,
"Barisan Tropical Mining, PT","Gold","kg",2005,
"Barisan Tropical Mining, PT","Silver","kg",2005,
"Newmont Nusa Tenggara, PT","Copper conct.","dmt",2005,
"Newmont Nusa Tenggara, PT","Copper","ton",2005,
"Newmont Nusa Tenggara, PT","Gold","kg",2005,
"Newmont Nusa Tenggara, PT","Silver","kg",2005,
"Nusa Halmahera Minerals, PT","Gold","kg",2005,
"Nusa Halmahera Minerals, PT","Silver","kg",2005,
"Avocet Bolaang Mongondouw, PT","Gold","kg",2005,
"Avocet Bolaang Mongondouw, PT","Silver","kg",2005,
"Galuh Cempaka, PT","Diamond","crt",2005,
"Galuh Cempaka, PT","Gold","kg",2005,
"Aneka Tambang Tbk, PT","Ferro nickel","mt",2006,
"Aneka Tambang Tbk, PT","Ni In Fe Ni","ton",2006,
"Aneka Tambang Tbk, PT","Gold","kg",2006,1882
"Aneka Tambang Tbk, PT","Silver","kg",2006,12967
"Aneka Tambang Tbk, PT","Bauxite","mt",2006,
"Aneka Tambang Tbk, PT","Iron sand","wmt",2006,6051
"Timah Tbk, PT","Tin metal","ton",2006,1927
"Freeport Indonesia, PT","Copper","ton",2006,
"Freeport Indonesia, PT","Gold","kg",2006,
"Freeport Indonesia, PT","Silver","kg",2006,
"Koba Tin, PT","Tin metal","ton",2006,
"International Nickel Ind, PT","Nickel","ton",2006,
"Gunung Kikara Mining, PT","Tin metal","ton",2006,
"Karimun Granite, PT","Granite","ton",2006,455778
"Lusang Mining, PT","Gold","kg",2006,
"Lusang Mining, PT","Silver","kg",2006,
"Ampalit Mas Perdana, PT","Gold","kg",2006,
"Ampalit Mas Perdana, PT","Silver","kg",2006,
"Monterado Mas Mining, PT","Gold","kg",2006,
"Monterado Mas Mining, PT","Silver","kg",2006,
"Prima Lirang Mining, PT","Gold","kg",2006,
"Prima Lirang Mining, PT","Silver","kg",2006,
"Kelian Equatorial Mining, PT","Gold","kg",2006,
"Kelian Equatorial Mining, PT","Silver","kg",2006,
"Indo Muro Kencana, PT","Gold","kg",2006,
"Indo Muro Kencana, PT","Silver","kg",2006,
"Newmont Minahasa Raya, PT","Gold","kg",2006,
"Newmont Minahasa Raya, PT","Silver","kg",2006,
"Barisan Tropical Mining, PT","Gold","kg",2006,
